____mid,G__Y,GGGG;1.0
____new,Q,GBG_;1.0
____new,Q,GGRG;1.0
____new,Q,GR_Y;1.0
____new,Q,YYGW;3.0
____new,YGWY,WRR_;1.0
____still,Q,GGRG;1.0
____still,YYBR,_GWY;3.0
____still,YYBR,GRGY;2.0
____still,YYBR,Q;2.0
____still,YYBR,YYGW;4.0
__W_,WRR_,GY_W;1.0
_GWY,GY__,_GWY;4.0
_GWY,GY__,_GYW;1.0
_GWY,GY__,_W__curl;2.0
_GWY,GY__,GBG_;1.0
_GWY,GY__,YGWR;1.0
_GWY,Y_B_,_GWY;6.0
_GWY,YYGW,GGRG;2.0
_GWY,YYGW,GGW_;2.0
_GWY,YYGW,YYBR;10.0
_GWY,YYYY,_GWY;3.0
_GWY,YYYY,WR__;6.0
_GYW,_W__curl,G___right;1.0
_GYW,_W__curl,GY__;1.0
_GYW,GBG_,_GYW;1.0
_GYW,GY__,_GYW;1.0
_GYW,GY__,YGWR;1.0
_GYW,YGWR,GY__;1.0
_R__right,G___right,_R__right;1.0
_RWG,WB__,_WYG;1.0
_RWG,Y_BW,_W__;3.0
_W__,_WYG,G_RG;1.0
_W__,_WYG,Y_BW;2.0
_W__,G_RG,_WYG;3.0
_W__curl,G___right,_R__right;2.0
_WRW,____hidden,_WRW;1.0
_WYG,WRR_,_WWY;1.0
_WYG,WRR_,YGWY;1.0
_WYG,Y_BW,_W__;6.0
_WYG,Y_BW,YY__;1.0
G___right,_GWY,WR__;1.0
G___right,_GWY,Y_B_;1.0
G___right,_GWY,YYGW;4.0
G___right,_GWY,YYYY;3.0
G__Y,____mid,G__Y;1.0
G__Y,GGGG,GBGR;1.0
G_RG,_WYG,G_RG;3.0
GGGG,GBGR,GGGG;1.0
GGGR,GRGY,YYBR;1.0
GGGR,GRGY,YYGG;1.0
GR_Y,YGWY,____new;1.0
GR_Y,YGWY,WRR_;1.0
GRGY,YYGG,GRY_;3.0
GY__,_GWY,WR__;1.0
GY__,_GWY,Y_B_;1.0
GY__,_GWY,YYGW;4.0
GY__,_GWY,YYYY;3.0
GY__,_W__curl,G___right;1.0
GY__,_W__curl,GY__;1.0
GY__,YGWR,GBG_;3.0
Q,YYGW,GGRG;1.0
Q,YYGW,GGW_;1.0
Q,YYGW,YYBR;2.0
W_WR,YY_W,_WRW;1.0
WB__,_WYG,G_RG;1.0
WB__,WRR_,_WWY;2.0
WB__,WRR_,YGWY;1.0
WRR_,Y_BW,_W__;3.0
WRR_,YGWY,WRR_;2.0
WRRY,GB__,WRRY;1.0
Y_B_,_GWY,_YGG;6.0
Y_BW,_W__,_RWG;4.0
Y_BW,_W__,_WYG;4.0
Y_BW,_W__,G_RG;8.0
YGWR,GBG_,_GYW;3.0
YGWR,GY__,YGWR;1.0
YGWY,WRR_,GY_W;4.0
YY__,_WRW,____hidden;1.0
YY_W,_WRW,YY__;1.0
YYBR,_GWY,WR__;1.0
YYBR,_GWY,Y_B_;1.0
YYBR,_GWY,YYYY;3.0
YYBR,GRGY,YYBR;1.0
YYBR,GRGY,YYGG;1.0
YYBR,Q,GBG_;3.0
YYBR,Q,GGRG;3.0
YYBR,YYGG,GRY_;3.0
YYBR,YYGW,GGRG;1.0
YYBR,YYGW,GGW_;1.0
YYGW,YYBR,GRGY;6.0
YYGW,YYBR,Q;4.0
YYGW,YYBR,YYGG;3.0
